행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
전라남도 보성군_2020,4.0,5.0,5.0,6.0,7.0,10.0,15.0,15.0,25.0,1.0,79.0,168.0,1245.0
전라남도 화순군_2020,5.0,9.0,7.0,10.0,10.0,14.0,19.0,24.0,75.0,5.0,63.0,391.0,2649.0
전라남도 장흥군_2020,5.0,7.0,6.0,7.0,10.0,12.0,16.0,17.0,27.0,1.0,96.0,280.0,1397.0
전라남도 강진군_2020,3.0,6.0,5.0,6.0,6.0,11.0,15.0,20.0,26.0,0.0,94.0,117.0,1259.0
전라남도 해남군_2020,6.0,8.0,7.0,4.0,11.0,13.0,20.0,9.0,54.0,8.0,76.0,480.0,2684.0
전라남도 영암군_2020,7.0,8.0,6.0,7.0,13.0,15.0,17.0,18.0,48.0,0.0,87.0,400.0,2474.0
전라남도 무안군_2020,6.0,12.0,10.0,8.0,11.0,18.0,25.0,20.0,176.0,12.0,40.0,691.0,4648.0
전라남도 함평군_2020,3.0,6.0,5.0,7.0,6.0,11.0,15.0,18.0,14.0,1.0,138.0,79.0,976.0
전라남도 영광군_2020,6.0,9.0,7.0,7.0,9.0,15.0,19.0,20.0,65.0,3.0,52.0,343.0,2175.0
전라남도 장성군_2020,6.0,8.0,7.0,8.0,11.0,14.0,19.0,22.0,35.0,1.0,85.0,443.0,1856.0
전라남도 완도군_2020,6.0,7.0,5.0,6.0,12.0,12.0,16.0,19.0,34.0,1.0,109.0,545.0,2034.0
전라남도 진도군_2020,6.0,6.0,3.0,2.0,10.0,11.0,11.0,10.0,22.0,0.0,59.0,241.0,1124.0
전라남도 신안군_2020,4.0,4.0,3.0,4.0,8.0,7.0,9.0,12.0,7.0,0.0,246.0,171.0,963.0
전북특별자치도 전주시_2020,10.0,15.0,12.0,12.0,15.0,23.0,27.0,26.0,3458.0,395.0,22.0,9171.0,39321.0
