±∏∫–,«◊∏Ò,2015_∆Ú±’,2016_∆Ú±’,2017_∆Ú±’,2018_∆Ú±’,2019_∆Ú±’,2020_∆Ú±’,2021_∆Ú±’,2022_∆Ú±’,2023_∆Ú±’
¿Â»Ô,≥‚∆Ú±’,,,,,22.64 ,17.75 ,17.58 ,13.17 ,17.42 
¡¯µµ,≥‚∆Ú±’,,,,,16.45 ,13.75 ,12.50 ,12.00 ,12.50 
øœµµ,≥‚∆Ú±’,,,,,15.82 ,12.08 ,11.58 ,12.25 ,12.00 
«‘∆Ú,≥‚∆Ú±’,,,,,21.27 ,17.83 ,18.58 ,15.42 ,13.67 
∞Ì»Ô,≥‚∆Ú±’,,,,,15.30 ,13.42 ,13.33 ,14.50 ,13.00 
Ω≈æ»,≥‚∆Ú±’,,,,,14.30 ,14.00 ,15.17 ,12.33 ,14.00 
π´æ»,≥‚∆Ú±’,,,,,21.00 ,19.17 ,18.33 ,16.33 ,15.83 
∞≠¡¯,≥‚∆Ú±’,,,,,15.83 ,17.33 ,15.08 ,14.11 ,14.50 
∞Óº∫,≥‚∆Ú±’,,,,,16.50 ,14.92 ,14.42 ,14.50 ,14.17 
±∏∑ ,≥‚∆Ú±’,,,,,16.00 ,18.17 ,16.58 ,11.25 ,11.50 
∫∏º∫,≥‚∆Ú±’,,,,,14.75 ,14.92 ,14.75 ,14.42 ,13.25 
µµ∆Ú±’,≥‚∆Ú±’,25.00 ,23.58 ,20.33 ,20.50 ,19.17 ,15.25 ,14.83 ,14.25 ,14.50 
øµ¥ˆ,≥‚∆Ú±’,,,,,,13.45 ,13.50 ,13.42 ,14.33 
øµ√µ,≥‚∆Ú±’,,,,,21.67 ,16.73 ,16.83 ,17.00 ,20.83 
¿«º∫,≥‚∆Ú±’,,,,,,14.25 ,15.67 ,18.50 ,16.67 
øÔ∏™µµ,≥‚∆Ú±’,,,,,10.50 ,12.50 ,10.67 ,13.55 ,9.78 
∆˜«◊,≥‚∆Ú±’,,20.43 ,22.18 ,23.92 ,19.67 ,16.30 ,16.75 ,16.92 ,18.33 
±∏πÃ,≥‚∆Ú±’,,21.13 ,23.00 ,25.42 ,20.00 ,18.09 ,17.73 ,18.17 ,21.33 
±Ë√µ,≥‚∆Ú±’,28.43 ,30.45 ,25.30 ,24.75 ,24.09 ,20.44 ,16.83 ,16.25 ,19.27 
∞Ê¡÷,≥‚∆Ú±’,,,,19.80 ,20.30 ,17.33 ,16.67 ,15.83 ,17.25 
æ»µø,≥‚∆Ú±’,,,23.00 ,25.10 ,18.20 ,17.50 ,15.08 ,14.92 ,17.83 
øµ¡÷,≥‚∆Ú±’,,,27.09 ,27.50 ,24.18 ,21.11 ,21.33 ,22.25 ,22.83 
∞ÊªÍ,≥‚∆Ú±’,,,24.63 ,25.25 ,24.00 ,21.50 ,19.00 ,18.89 ,18.58 
ªÛ¡÷,≥‚∆Ú±’,,,,20.73 ,23.80 ,21.08 ,20.67 ,22.88 ,20.17 
ƒ•∞Ó,≥‚∆Ú±’,,,,21.50 ,21.92 ,20.33 ,20.67 ,22.00 ,20.08 
øÔ¡¯,≥‚∆Ú±’,,,,,14.40 ,10.00 ,13.33 ,14.58 ,13.58 
∫¿»≠,≥‚∆Ú±’,,,,,12.63 ,13.17 ,11.17 ,12.60 ,11.60 
∞Ì∑…,≥‚∆Ú±’,,,,,15.67 ,17.25 ,17.25 ,14.92 ,18.50 
±∫¿ß,≥‚∆Ú±’,,,,,,15.64 ,14.75 ,13.13 ,13.50 
º∫¡÷,≥‚∆Ú±’,,,,,,18.50 ,20.17 ,18.00 ,19.75 
øπ√µ,≥‚∆Ú±’,,,,,,15.10 ,16.92 ,17.00 ,18.50 
√ªµµ,≥‚∆Ú±’,,,,,,17.27 ,17.17 ,18.78 ,17.08 
√ªº€,≥‚∆Ú±’,,,,,,12.67 ,13.08 ,12.92 ,13.08 
øµæÁ,≥‚∆Ú±’,,,,,,12.50 ,12.58 ,13.58 ,15.17 
πÆ∞Ê,≥‚∆Ú±’,,,,,,16.20 ,18.33 ,15.58 ,16.83 
µµ∆Ú±’,≥‚∆Ú±’,,21.75 ,23.50 ,24.42 ,20.67 ,17.25 ,16.67 ,16.42 ,18.00 
√¢ø¯,≥‚∆Ú±’,26.17 ,26.18 ,24.50 ,21.00 ,19.17 ,16.08 ,15.50 ,13.75 ,15.75 
¡¯¡÷,≥‚∆Ú±’,27.25 ,25.92 ,21.92 ,18.33 ,17.33 ,15.50 ,17.33 ,16.70 ,16.33 
«œµø,≥‚∆Ú±’,30.09 ,23.58 ,23.50 ,15.92 ,16.00 ,13.36 ,14.67 ,15.08 ,14.33 
±Ë«ÿ,≥‚∆Ú±’,19.00 ,22.42 ,19.75 ,20.08 ,20.58 ,16.91 ,15.67 ,15.58 ,16.30 
æÁªÍ,≥‚∆Ú±’,27.33 ,26.33 ,25.42 ,22.00 ,20.42 ,18.08 ,17.70 ,15.58 ,16.08 
∞≈¡¶,≥‚∆Ú±’,25.08 ,24.17 ,22.50 ,20.10 ,18.58 ,16.36 ,13.36 ,14.44 ,13.42 
ªÁ√µ,≥‚∆Ú±’,20.25 ,19.83 ,17.75 ,16.25 ,16.83 ,14.09 ,13.92 ,13.83 ,15.00 
π–æÁ,≥‚∆Ú±’,,,,19.55 ,17.67 ,18.08 ,15.58 ,14.83 ,14.92 
≈Îøµ,≥‚∆Ú±’,,,,20.09 ,18.08 ,12.67 ,13.33 ,13.83 ,17.58 
∞Ìº∫,≥‚∆Ú±’,,,,,15.33 ,12.92 ,15.50 ,13.58 ,14.17 
∞≈√¢,≥‚∆Ú±’,,,,,19.00 ,18.92 ,17.25 ,15.89 ,17.50 
«‘æ»,≥‚∆Ú±’,,,,,17.91 ,17.33 ,17.92 ,16.17 ,16.08 
«‘æÁ,≥‚∆Ú±’,,,,,17.00 ,17.09 ,15.92 ,13.58 ,16.33 
≥≤«ÿ,≥‚∆Ú±’,,,,,18.83 ,14.30 ,14.42 ,13.33 ,16.25 
ªÍ√ª,≥‚∆Ú±’,,,,,17.00 ,15.17 ,14.67 ,15.58 ,13.78 
¿«∑…,≥‚∆Ú±’,,,,,18.50 ,15.08 ,13.83 ,16.00 ,16.83 
√¢≥Á,≥‚∆Ú±’,,,,,21.00 ,18.67 ,17.75 ,16.17 ,16.75 
«’√µ,≥‚∆Ú±’,,,,,16.00 ,14.42 ,15.67 ,16.58 ,18.67 
µµ∆Ú±’,≥‚∆Ú±’,25.50 ,24.58 ,22.83 ,20.17 ,18.58 ,16.00 ,15.80 ,14.67 ,15.83 
¡¶¡÷,≥‚∆Ú±’,23.17 ,24.08 ,23.36 ,19.33 ,21.25 ,15.67 ,14.25 ,15.08 ,13.75 
º≠±Õ∆˜,≥‚∆Ú±’,19.00 ,18.50 ,19.33 ,18.92 ,16.83 ,15.17 ,12.92 ,13.00 ,13.42 
µµ∆Ú±’,≥‚∆Ú±’,24.00 ,22.00 ,21.45 ,18.92 ,18.58 ,15.58 ,13.58 ,14.00 ,13.75 
