행정구역(시)별,산업별,2015,2015.1,2015.2,2015.3,2015.4,2016,2016.1,2016.2,2016.3,2016.4,2017,2017.1,2017.2,2017.3,2017.4,2018,2018.1,2018.2,2018.3,2018.4,2019,2019.1,2019.2,2019.3,2019.4,2020,2020.1,2020.2,2020.3,2020.4,2021,2021.1,2021.2,2021.3,2021.4
행정구역(시)별,산업별,사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명)
서귀포시,"전기, 가스, 증기 및 수도사업",9,-,243,-,-,12,-,317,-,-,11,1,274,243,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서귀포시,"전기, 가스, 증기 및 공기조절 공급업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,1,309,270,39,12,-,373,-,-,418,-,775,-,-,443,-,738,-,-
서귀포시,"하수폐기물 처리, 원료재생 및 환경복원업",28,-,272,-,-,28,-,282,-,-,33,8,315,271,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서귀포시,"수도, 하수 및 폐기물처리, 원료재생업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,7,292,263,29,34,-,257,-,-,62,-,416,-,-,62,-,431,-,-
서귀포시,건설업,400,-,3148,-,-,434,-,3361,-,-,435,105,3399,2912,487,456,116,3525,2987,538,457,-,3151,-,-,1735,-,4695,-,-,1749,-,5169,-,-
서귀포시,도매 및 소매업,3771,-,9997,-,-,3753,-,10296,-,-,3818,1930,10691,5395,5296,3967,1994,11395,5653,5742,4178,-,11986,-,-,6010,-,12902,-,-,6004,-,13059,-,-
서귀포시,운수업,1145,-,2301,-,-,1149,-,2289,-,-,1165,42,2592,2320,272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서귀포시,운수 및 창고업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1120,44,2529,2298,231,1234,-,2467,-,-,1389,-,2661,-,-,1481,-,2824,-,-
서귀포시,숙박 및 음식점업,4570,-,15234,-,-,4967,-,16915,-,-,5413,3216,17577,6963,10614,5967,3478,20293,8453,11840,6392,-,20894,-,-,7210,-,18591,-,-,7465,-,20070,-,-
서귀포시,"출판, 영상,방송통신 및 정보서비스업",29,-,215,-,-,34,-,256,-,-,32,12,265,189,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서귀포시,정보통신업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,16,319,211,108,42,-,275,-,-,156,-,422,-,-,182,-,609,-,-
서귀포시,금융 및 보험업,163,-,2094,-,-,165,-,2122,-,-,165,15,2095,1132,963,164,25,1990,1093,897,162,-,1987,-,-,192,-,2311,-,-,186,-,1993,-,-
서귀포시,부동산 및 임대업,334,-,761,-,-,410,-,1126,-,-,445,114,2195,1365,830,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서귀포시,부동산업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,468,132,2197,1389,808,472,-,1108,-,-,920,-,2493,-,-,937,-,1665,-,-
서귀포시,"전문, 과학 및 기술서비스업",116,-,1023,-,-,141,-,1144,-,-,143,21,1071,708,363,162,29,958,615,343,197,-,1100,-,-,485,-,1511,-,-,531,-,1480,-,-
서귀포시,사업 시설관리 및 사업 지원 서비스,194,-,843,-,-,201,-,1143,-,-,244,105,1168,573,595,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서귀포시,"사업시설 관리, 사업 지원 및 임대 서비스업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,246,102,1080,558,522,269,-,1609,-,-,479,-,2030,-,-,495,-,2142,-,-
서귀포시,"공공행정, 국방 및 사회보장행정",73,-,2616,-,-,75,-,2799,-,-,71,2,2954,2092,862,71,2,3620,2302,1318,68,-,3547,-,-,64,-,3958,-,-,65,-,4563,-,-
서귀포시,교육 서비스업,547,-,4729,-,-,531,-,4673,-,-,557,321,4684,1729,2955,592,341,5143,1908,3235,657,-,5622,-,-,838,-,5730,-,-,937,-,5817,-,-
서귀포시,보건업 및 사회복지 서비스업,423,-,4366,-,-,442,-,4487,-,-,468,209,4845,1098,3747,482,218,5080,1140,3940,513,-,5806,-,-,539,-,6875,-,-,550,-,6775,-,-
서귀포시,"예술, 스포츠 및 여가 관련 서비스업",412,-,3922,-,-,421,-,3954,-,-,434,160,3482,1818,1664,465,176,4209,2261,1948,497,-,4327,-,-,601,-,4473,-,-,649,-,4211,-,-
서귀포시,"협회 및 단체, 수리 및 기타개인서비스업",1343,-,2735,-,-,1354,-,2749,-,-,1299,631,2547,1286,1261,1406,702,2917,1429,1488,1469,-,3043,-,-,1653,-,3171,-,-,1759,-,3463,-,-
