시군별,산업별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,Unnamed: 10
포천시,운수 및 창고업,사업체수[개],개,1398,1314,1353,1443,3438,2389,
포천시,운수 및 창고업,종사자수[명],명,3227,3132,3116,3548,5120,4308,
포천시,숙박 및 음식점업,사업체수[개],개,3197,3218,3302,3364,3589,3643,
포천시,숙박 및 음식점업,종사자수[명],명,8765,8518,8809,9241,7883,7876,
포천시,정보통신업,사업체수[개],개,32,33,35,47,86,99,
포천시,정보통신업,종사자수[명],명,212,201,202,269,326,330,
포천시,금융 및 보험업,사업체수[개],개,89,92,94,93,124,115,
포천시,금융 및 보험업,종사자수[명],명,1525,1413,1474,1418,1422,1341,
포천시,부동산업,사업체수[개],개,341,305,325,340,739,823,
포천시,부동산업,종사자수[명],명,787,634,669,680,1200,1302,
포천시,"전문, 과학 및 기술서비스업",사업체수[개],개,198,215,231,255,378,399,
포천시,"전문, 과학 및 기술서비스업",종사자수[명],명,855,1003,1082,1242,1407,1476,
포천시,사업시설관리 및 사업지원 및 임대서비스업,사업체수[개],개,145,202,222,239,520,509,
