"행정구역(동읍면)별","5세별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"중구","90 - 94세","총인구수[명]","명","441","469","505","533","631","697","667","666","704",
"중구","90 - 94세","남자인구수[명]","명","134","132","155","164","193","223","184","182","183",
"중구","90 - 94세","여자인구수[명]","명","307","337","350","369","438","474","483","484","521",
"중구","95 - 99세","총인구수[명]","명","162","158","161","181","204","203","145","157","172",
"중구","95 - 99세","남자인구수[명]","명","62","56","56","55","59","60","37","38","45",
"중구","95 - 99세","여자인구수[명]","명","100","102","105","126","145","143","108","119","127",
"중구","100+","총인구수[명]","명","137","160","166","179","187","205","26","28","27",
"중구","100+","남자인구수[명]","명","40","51","47","55","61","65","11","8","5",
"중구","100+","여자인구수[명]","명","97","109","119","124","126","140","15","20","22",
"용산구","15 - 19세","총인구수[명]","명","11296","10789","10144","9617","9084","8417","7741","7537","7226",
"용산구","15 - 19세","남자인구수[명]","명","5955","5675","5257","4909","4676","4318","3961","3839","3641",
"용산구","15 - 19세","여자인구수[명]","명","5341","5114","4887","4708","4408","4099","3780","3698","3585",
"용산구","20 - 24세","총인구수[명]","명","14724","14317","13997","13886","13682","13757","13290","12560","11634",
"용산구","20 - 24세","남자인구수[명]","명","7137","6937","6789","6622","6437","6444","6169","5726","5247",
"용산구","20 - 24세","여자인구수[명]","명","7587","7380","7208","7264","7245","7313","7121","6834","6387",
"용산구","25 - 29세","총인구수[명]","명","16727","16972","17996","18629","19155","19728","19488","19243","18469",
"용산구","25 - 29세","남자인구수[명]","명","8238","8373","8864","9144","9393","9481","9263","9048","8602",
"용산구","25 - 29세","여자인구수[명]","명","8489","8599","9132","9485","9762","10247","10225","10195","9867",
"용산구","30 - 34세","총인구수[명]","명","20171","19032","18542","18468","18588","19058","19678","20719","20723",
"용산구","30 - 34세","남자인구수[명]","명","10069","9455","9291","9231","9226","9532","9726","10278","10305",
"용산구","30 - 34세","여자인구수[명]","명","10102","9577","9251","9237","9362","9526","9952","10441","10418",
"용산구","35 - 39세","총인구수[명]","명","19016","19127","19474","19817","19445","19011","18041","17328","16687",
"용산구","35 - 39세","남자인구수[명]","명","9356","9434","9642","9878","9751","9500","8915","8575","8310",
"용산구","35 - 39세","여자인구수[명]","명","9660","9693","9832","9939","9694","9511","9126","8753","8377",
"용산구","40 - 44세","총인구수[명]","명","20486","19073","17812","16858","16541","16998","16823","16919","16789",
"용산구","40 - 44세","남자인구수[명]","명","10347","9487","8764","8282","8099","8356","8382","8457","8403",
"용산구","40 - 44세","여자인구수[명]","명","10139","9586","9048","8576","8442","8642","8441","8462","8386",
"용산구","45 - 49세","총인구수[명]","명","19797","20424","20629","20272","19618","18700","16958","15593","14499",
"용산구","45 - 49세","남자인구수[명]","명","9923","10156","10280","10000","9699","9173","8269","7594","7067",
"용산구","45 - 49세","여자인구수[명]","명","9874","10268","10349","10272","9919","9527","8689","7999","7432",
"용산구","65 - 69세","총인구수[명]","명","11013","10675","10775","10782","11172","12006","12513","12818","13241",
"용산구","65 - 69세","남자인구수[명]","명","4947","4834","4923","4940","5180","5603","5951","6173","6395",
"용산구","65 - 69세","여자인구수[명]","명","6066","5841","5852","5842","5992","6403","6562","6645","6846",
"용산구","70 - 74세","총인구수[명]","명","9443","9093","8919","9022","9201","9415","8771","8622","8650",
"용산구","70 - 74세","남자인구수[명]","명","4207","3975","3839","3913","4035","4126","3972","3950","3950",
"용산구","70 - 74세","여자인구수[명]","명","5236","5118","5080","5109","5166","5289","4799","4672","4700",
"용산구","75 - 79세","총인구수[명]","명","7226","7477","7956","7973","7921","7788","7189","6862","6972",
"용산구","75 - 79세","남자인구수[명]","명","2946","3094","3365","3412","3353","3275","3005","2845","2930",
"용산구","75 - 79세","여자인구수[명]","명","4280","4383","4591","4561","4568","4513","4184","4017","4042",
"용산구","80 - 84세","총인구수[명]","명","4180","4553","4876","5212","5506","5640","5602","5741","5633",
"용산구","80 - 84세","남자인구수[명]","명","1628","1739","1826","1968","2111","2183","2181","2269","2274",
"용산구","80 - 84세","여자인구수[명]","명","2552","2814","3050","3244","3395","3457","3421","3472","3359",
"용산구","85 - 89세","총인구수[명]","명","2107","2254","2388","2521","2670","2932","2989","3069","3272",
"용산구","85 - 89세","남자인구수[명]","명","664","750","813","885","944","1036","1025","1075","1135",
"용산구","85 - 89세","여자인구수[명]","명","1443","1504","1575","1636","1726","1896","1964","1994","2137",
"용산구","90 - 94세","총인구수[명]","명","847","916","950","1000","1123","1193","1139","1094","1150",
"용산구","90 - 94세","남자인구수[명]","명","274","284","280","283","320","346","342","336","362",
"용산구","90 - 94세","여자인구수[명]","명","573","632","670","717","803","847","797","758","788",
