시도별_2018,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자
세종특별자치시_2018,15,?70,?9,?116,"?1,233","?20,248",?14,?483,?64,?562,?544,"?6,350","?2,963","?8,811",?942,"?3,630","?3,452","?10,997",?160,"?1,312",?179,"?1,803","?1,369","?4,142",?444,"?6,130",?348,"?4,601",?117,"?18,938","?1,107","?12,802",?817,"?9,033",?541,"?1,998","?1,553","?3,559"
울산광역시 중구_2018,3,49,2,30,953,"2,630",3,60,25,182,712,"5,010","4,351","9,775","1,872","2,743","3,293","7,643",72,827,124,"2,080",560,"1,599",346,"4,308",238,"1,618",34,"2,617",946,"6,224",527,"7,092",614,"1,551","2,057","3,421"
울산광역시 남구_2018,6,13,3,50,"1,557","28,230",15,902,64,835,"1,206","18,401","7,838","23,821","2,639","9,701","6,875","20,615",173,"2,031",562,"10,109","1,338","5,137","1,128","7,250",691,"10,772",70,"5,909","1,874","12,352","1,058","12,480","1,123","3,346","3,398","7,239"
울산광역시 동구_2018,2,8,0,0,512,"44,036",1,20,4,63,163,978,"2,054","4,873",518,"1,101","2,603","7,567",21,228,86,"1,053",225,579,85,"2,005",92,781,22,"1,219",552,"4,177",387,"6,166",390,"1,026","1,074","1,690"
울산광역시 북구_2018,3,12,1,15,"1,620","55,022",5,301,18,135,304,"2,378","2,743","9,579","1,049","4,349","2,387","7,455",31,331,93,812,448,"1,308",170,"1,308",163,"2,651",28,"1,552",728,"5,530",453,"4,917",462,"1,079","1,190","2,879"
울산광역시 울주군_2018,20,107,15,279,"2,657","46,072",15,"1,207",91,877,878,"9,636","3,262","9,061","1,458","6,502","3,743","9,345",46,348,76,844,580,"1,197",168,"1,342",335,"2,935",53,"2,498",738,"6,595",469,"6,023",519,"1,565","1,502","2,874"
인천광역시 강화군_2018,14,77,4,52,429,"2,967",2,42,9,87,209,946,"1,277","2,583",359,747,"1,875","4,144",29,154,44,503,238,337,69,246,38,154,57,"1,361",174,"1,736",194,"2,897",136,467,588,"1,079"
인천광역시 옹진군_2018,7,58,2,30,69,205,17,777,2,31,83,787,287,530,94,204,"1,019","1,978",13,59,17,110,34,46,7,64,39,141,45,843,41,349,41,358,50,99,117,148
인천광역시 중구_2018,2,8,16,325,524,"7,654",9,177,39,514,320,"1,875","3,617","10,659","2,553","26,764","3,053","11,943",62,951,95,"1,119",517,"1,578",165,"1,350",271,"9,744",71,"7,806",327,"3,502",314,"5,717",345,"3,233",991,"2,816"
인천광역시 동구_2018,1,4,0,0,"1,619","11,457",1,21,25,176,373,"2,322","2,692","6,730",740,"2,834",806,"2,014",30,72,53,382,159,406,102,349,104,538,23,973,143,"1,682",223,"3,004",100,320,584,"1,284"
인천광역시 미추홀구_2018,1,4,0,0,"2,140","15,610",4,133,33,533,933,"6,488","6,558","18,221","3,925","9,642","5,115","13,784",181,"1,108",323,"4,719","1,090","2,705",795,"4,782",467,"6,911",59,"5,328",976,"9,826",976,"13,651",984,"2,397","3,367","6,979"
인천광역시 연수구_2018,0,0,1,20,893,"15,904",7,507,34,578,580,"8,596","4,728","18,440","2,017","4,961","3,723","14,741",220,"1,660",129,"1,244","1,122","4,013",522,"7,496",302,"4,965",36,"2,903","1,357","13,122",827,"9,142",781,"2,989","1,912","4,069"
인천광역시 남동구_2018,1,4,0,0,"7,470","81,990",4,84,136,"1,454","1,216","15,119","8,698","27,199","5,039","8,033","6,439","20,617",190,"1,769",404,"6,517","1,483","4,975",881,"5,767",580,"9,980",63,"7,099","1,569","12,844","1,467","21,640","1,363","4,043","3,676","7,854"
인천광역시 부평구_2018,0,0,0,0,"3,332","34,776",6,494,36,394,"1,038","8,427","7,875","23,969","4,153","7,747","5,515","16,301",137,"1,748",420,"7,495","1,312","3,786",517,"3,420",521,"5,427",54,"3,067","1,453","11,519","1,350","18,231","1,228","3,036","3,689","7,424"
인천광역시 계양구_2018,3,7,1,20,"1,626","10,425",2,42,32,364,646,"5,416","4,036","12,955","2,782","5,724","3,186","9,552",84,660,137,"1,659",788,"2,113",372,"1,793",281,"5,154",29,"2,658",812,"7,351",810,"11,677",780,"2,031","2,114","4,059"
인천광역시 서구_2018,7,22,8,111,"7,133","66,373",15,"1,502",149,"2,383",880,"5,589","7,240","25,340","4,449","18,029","5,312","16,223",77,"1,721",180,"1,887","1,432","3,404",410,"5,334",426,"4,068",48,"4,768","1,469","11,804","1,182","15,363","1,115","3,359","3,209","7,466"
전라남도 목포시_2018,4,112,11,45,"1,164","4,137",18,167,32,511,762,"5,142","6,273","14,837","1,614","5,546","4,551","11,176",116,998,233,"3,397",588,"1,968",360,"1,829",387,"2,087",76,"3,602","1,016","7,314",762,"12,000",678,"1,722","2,747","5,091"
