시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,
경상남도 밀양시,82,379,8,19,"1,164","9,592",293,424,55,397,"1,334","3,788","2,908","5,807","2,229","3,339","2,333","4,298",47,242,111,"1,024",374,676,211,"1,095",161,630,51,"2,243",377,"2,306",311,"4,619",209,585,"1,204","1,862",
경상남도 거제시,17,188,4,18,"1,153","39,598",64,127,51,781,"1,524","9,417","4,795","8,949","1,032","2,748","5,821","11,678",99,618,177,"2,075",845,"2,187","1,181","5,573","1,159","4,512",65,"2,631","1,125","6,997",600,"7,379",547,"1,283","1,921","3,018",
경상남도 양산시,27,147,5,26,"5,697","52,185",74,294,149,"1,235","2,918","7,759","8,515","18,466","7,085","13,647","6,092","13,527",187,650,201,"2,411","1,686","3,418",749,"3,095","1,237","4,944",57,"3,974","1,710","9,510",989,"15,744",801,"2,569","3,261","5,907",
경상남도 의령군,38,199,5,41,377,"2,111",113,168,15,131,280,"1,660",490,905,528,627,517,894,22,87,30,223,40,76,47,146,24,95,36,"1,423",75,758,110,"1,319",44,320,260,486,
경상남도 함안군,44,257,2,6,"3,779","24,393",206,314,76,684,"1,200","2,686","1,917","3,918",566,"1,222","1,280","2,394",33,127,43,308,269,403,142,546,140,686,33,"1,143",227,"1,477",222,"3,911",131,549,667,"1,232",
경상남도 창녕군,61,416,7,18,"1,070","8,937",263,307,41,219,439,"5,476","1,449","2,925",462,965,"1,414","2,649",30,108,51,353,192,253,100,383,144,561,36,"1,329",214,"1,410",209,"3,219",113,380,626,"1,058",
경상남도 고성군,49,226,3,8,663,"5,274",240,751,18,107,649,"2,658","1,372","2,586",334,788,"1,161","2,145",34,136,58,479,146,239,104,320,145,666,44,"1,654",182,"1,321",176,"2,081",100,312,615,997,
경상남도 남해군,45,246,0,0,340,"1,157",276,326,27,138,411,"1,539","1,160","2,129",240,462,"1,773","3,613",36,143,60,464,106,177,76,278,76,213,38,"1,172",161,"1,223",153,"2,287",106,317,454,740,
경상남도 하동군,70,282,6,7,491,"1,558",466,"1,188",23,151,710,"1,918","1,417","2,369",267,420,"1,155","2,035",26,130,43,517,87,152,82,280,62,736,39,"1,477",145,"1,056",166,"2,287",89,244,488,818,
경상남도 산청군,82,375,18,81,443,"2,160",302,407,11,69,459,"2,487",983,"1,851",511,746,934,"1,799",23,113,31,277,73,113,71,222,45,120,37,"1,479",112,994,140,"1,916",82,331,386,912,
