행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
울산광역시 북구_2018,15.0,16.0,11.0,11.0,22.0,23.0,25.0,26.0,354.0,18.0,72.0,4927.0,14646.0
울산광역시 울주군_2018,13.0,15.0,11.0,13.0,16.0,21.0,25.0,30.0,377.0,11.0,60.0,3230.0,13519.0
인천광역시 강화군_2018,10.0,15.0,13.0,7.0,12.0,22.0,27.0,19.0,98.0,10.0,112.0,543.0,7528.0
인천광역시 옹진군_2018,12.0,14.0,8.0,3.0,12.0,21.0,19.0,13.0,42.0,2.0,108.0,145.0,3898.0
인천광역시 중구_2018,13.0,16.0,13.0,9.0,16.0,23.0,26.0,22.0,320.0,47.0,84.0,1956.0,17945.0
인천광역시 동구_2018,13.0,17.0,14.0,9.0,16.0,24.0,28.0,22.0,623.0,25.0,54.0,999.0,21898.0
인천광역시 미추홀구_2018,13.0,16.0,13.0,10.0,19.0,24.0,26.0,24.0,672.0,66.0,71.0,4790.0,30053.0
인천광역시 연수구_2018,13.0,15.0,13.0,12.0,20.0,22.0,26.0,28.0,560.0,90.0,79.0,5483.0,25430.0
인천광역시 남동구_2018,13.0,15.0,12.0,12.0,18.0,22.0,24.0,27.0,348.0,30.0,86.0,9696.0,15952.0
인천광역시 부평구_2018,13.0,16.0,14.0,10.0,19.0,23.0,28.0,24.0,734.0,29.0,76.0,6189.0,33036.0
인천광역시 계양구_2018,12.0,9.0,9.0,11.0,17.0,13.0,20.0,25.0,46.0,1.0,223.0,3274.0,2496.0
인천광역시 서구_2018,15.0,7.0,4.0,12.0,18.0,10.0,11.0,28.0,4.0,0.0,2467.0,9249.0,635.0
전라남도 목포시_2018,12.0,16.0,12.0,10.0,16.0,24.0,14.0,25.0,451.0,32.0,47.0,3692.0,15777.0
전라남도 여수시_2018,12.0,13.0,10.0,11.0,14.0,20.0,20.0,27.0,517.0,29.0,47.0,3253.0,14882.0
전라남도 순천시_2018,9.0,15.0,12.0,11.0,15.0,23.0,25.0,26.0,464.0,41.0,60.0,3792.0,16738.0
전라남도 나주시_2018,8.0,12.0,7.0,7.0,15.0,19.0,15.0,21.0,122.0,5.0,63.0,1470.0,5491.0
전라남도 광양시_2018,8.0,14.0,11.0,11.0,12.0,21.0,23.0,28.0,240.0,8.0,66.0,1531.0,9249.0
전라남도 담양군_2018,9.0,7.0,6.0,9.0,13.0,13.0,18.0,23.0,13.0,1.0,191.0,326.0,1440.0
전라남도 곡성군_2018,6.0,8.0,9.0,9.0,9.0,13.0,20.0,24.0,21.0,1.0,88.0,149.0,967.0
전라남도 구례군_2018,7.0,6.0,7.0,9.0,10.0,11.0,17.0,24.0,20.0,0.0,90.0,172.0,996.0
전라남도 고흥군_2018,6.0,8.0,6.0,9.0,9.0,12.0,15.0,23.0,49.0,2.0,77.0,285.0,1980.0
전라남도 보성군_2018,7.0,6.0,5.0,8.0,8.0,11.0,11.0,20.0,27.0,0.0,83.0,189.0,1399.0
전라남도 화순군_2018,7.0,10.0,8.0,12.0,12.0,16.0,18.0,29.0,80.0,3.0,66.0,465.0,2925.0
전라남도 장흥군_2018,10.0,7.0,6.0,9.0,11.0,12.0,18.0,22.0,29.0,2.0,97.0,327.0,1438.0
전라남도 강진군_2018,6.0,7.0,6.0,9.0,7.0,11.0,16.0,24.0,27.0,0.0,97.0,128.0,1346.0
전라남도 해남군_2018,9.0,9.0,7.0,9.0,12.0,14.0,19.0,24.0,59.0,2.0,81.0,534.0,2838.0
전라남도 영암군_2018,7.0,9.0,6.0,8.0,12.0,15.0,15.0,23.0,47.0,2.0,94.0,473.0,2532.0
전라남도 무안군_2018,8.0,12.0,10.0,9.0,14.0,18.0,22.0,24.0,153.0,5.0,46.0,823.0,4602.0
전라남도 함평군_2018,8.0,6.0,5.0,9.0,8.0,12.0,16.0,21.0,14.0,2.0,147.0,131.0,998.0
전라남도 영광군_2018,6.0,10.0,7.0,9.0,11.0,16.0,14.0,25.0,69.0,3.0,52.0,402.0,2306.0
전라남도 장성군_2018,7.0,8.0,7.0,9.0,12.0,14.0,19.0,26.0,35.0,3.0,89.0,506.0,1946.0
전라남도 완도군_2018,7.0,7.0,6.0,7.0,14.0,13.0,17.0,21.0,32.0,2.0,122.0,588.0,2110.0
전라남도 진도군_2018,9.0,7.0,3.0,3.0,11.0,11.0,4.0,13.0,27.0,0.0,51.0,233.0,1200.0
전라남도 신안군_2018,5.0,4.0,3.0,5.0,10.0,7.0,9.0,17.0,8.0,0.0,210.0,201.0,974.0
전북특별자치도 전주시_2018,11.0,15.0,13.0,14.0,16.0,24.0,29.0,30.0,3577.0,361.0,22.0,10325.0,38967.0
전북특별자치도 군산시_2018,11.0,13.0,12.0,14.0,17.0,21.0,27.0,30.0,3577.0,361.0,8.0,3896.0,15783.0
