,행정구역,소멸위험지수,소멸위험등급
355,대전광역시 대덕구_2016,1.5678330484266623,D
356,대전광역시 동구_2016,0.7720187028534264,C
357,대전광역시 서구_2016,3.0061589593409366,D
358,대전광역시 유성구_2016,5.629019253782486,D
359,대전광역시 중구_2016,0.884168394047574,C
360,부산광역시_2016,0.9100595131862815,C
361,부산광역시 강서구_2016,2.4590178126797486,D
362,부산광역시 금정구_2016,0.7992584852791992,C
363,부산광역시 기장군_2016,1.5530163666511987,D
364,부산광역시 남구_2016,0.6956536100323061,C
365,부산광역시 동구_2016,0.13941735208928374,A
366,부산광역시 동래구_2016,1.0600117971122718,C
367,부산광역시 부산진구_2016,0.7964332318354436,C
368,부산광역시 북구_2016,1.5272610796112405,D
369,부산광역시 사상구_2016,1.0579992977117991,C
370,부산광역시 사하구_2016,1.0471738656693705,C
371,부산광역시 서구_2016,0.2101495562039234,B
372,부산광역시 수영구_2016,0.778908358403999,C
373,부산광역시 연제구_2016,0.8579023418212581,C
374,부산광역시 영도구_2016,0.14717597039722108,A
375,부산광역시 중구_2016,0.3087427067709806,B
376,부산광역시 해운대구_2016,1.3143977740931136,C
377,서울특별시_2016,1.6118215510458487,D
378,서울특별시 강남구_2016,2.9327942593720406,D
379,서울특별시 강동구_2016,1.695499125201958,D
380,서울특별시 강북구_2016,0.7830345386134135,C
381,서울특별시 강서구_2016,2.1155471478732357,D
382,서울특별시 관악구_2016,1.7261746801419597,D
383,서울특별시 광진구_2016,2.3770317909629064,D
384,서울특별시 구로구_2016,1.4516189472508672,D
385,서울특별시 금천구_2016,1.3009832867345514,C
386,서울특별시 노원구_2016,1.6613161772046836,D
387,서울특별시 도봉구_2016,1.1162269045265576,C
388,서울특별시 동대문구_2016,1.0318719153626355,C
389,서울특별시 동작구_2016,1.5339219349989526,D
390,서울특별시 마포구_2016,1.9116089074845992,D
391,서울특별시 서대문구_2016,1.22712536152708,C
392,서울특별시 서초구_2016,2.5692501939697134,D
393,서울특별시 성동구_2016,1.6758926211739948,D
394,서울특별시 성북구_2016,1.2055424712392402,C
395,서울특별시 송파구_2016,2.7224226307015145,D
396,서울특별시 양천구_2016,2.3525286664817116,D
397,서울특별시 영등포구_2016,1.329380278962376,D
398,서울특별시 용산구_2016,1.0232797037007628,C
399,서울특별시 은평구_2016,1.1814989953917339,C
400,서울특별시 종로구_2016,0.8868912477685253,C
401,서울특별시 중구_2016,0.8945272653332406,C
402,서울특별시 중랑구_2016,1.3279276228216654,C
403,세종특별자치시_2016,3.3475163146185056,D
404,울산광역시_2016,2.940831694006402,D
405,울산광역시 남구_2016,3.7318002455470536,D
406,울산광역시 동구_2016,3.460750568819501,D
407,울산광역시 북구_2016,6.487422567120393,D
408,울산광역시 울주군_2016,1.5792905004469284,D
409,울산광역시 중구_2016,2.011705775479266,D
410,인천광역시_2016,2.1852708246028016,D
411,인천광역시 강화군_2016,0.23476396767691185,B
412,인천광역시 계양구_2016,3.376758176546553,D
413,인천광역시 남동구_2016,2.616322852320419,D
414,인천광역시 동구_2016,0.41764835756815843,B
415,인천광역시 미추홀구_2016,1.402964644469571,D
416,인천광역시 부평구_2016,2.1126012782870442,D
417,인천광역시 서구_2016,4.175811616320489,D
418,인천광역시 연수구_2016,4.559381750540624,D
419,인천광역시 옹진군_2016,0.3106774572618408,B
420,인천광역시 중구_2016,1.2066273039486073,C
421,전라남도_2016,0.35130251771689747,B
422,전라남도 강진군_2016,0.0,A
423,전라남도 고흥군_2016,0.011612182166050762,A
424,전라남도 곡성군_2016,0.06715267921240416,A
425,전라남도 광양시_2016,2.107890347550896,D
426,전라남도 구례군_2016,0.20245257470443961,B
427,전라남도 나주시_2016,0.6165655815659654,C
428,전라남도 담양군_2016,0.20665049007503006,B
429,전라남도 목포시_2016,1.2053617323567871,C
430,전라남도 무안군_2016,0.4244731131582785,B
431,전라남도 보성군_2016,0.0,A
432,전라남도 순천시_2016,1.2483971345931277,C
