,행정구역,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수,종합병원,병원,의원,치과병(의)원,한방병원,한의원,인구 천명당 의료기관병상수(개),총병상수 (개),하수도보급률,상수도보급률,출생아수,합계출산율,남녀성비,인구증가율,주민등록인구,가구수,일반공공행정예산비중,소멸위험지수,소멸위험등급
967,경상남도 진주시_2019,11,14,11,9,18,21,24,24,798,68,36,4268,20467,4,12,182,110,2,93,18.5,6424.0,92.2,100.0,1972,1.01,97.9,0.42,347334,142418,16.0,0.7988839385109329,C
968,경상남도 통영시_2019,10,14,10,11,16,21,22,23,212,12,61,1577,8476,0,7,75,34,1,27,16.2,2128.0,86.3,99.0,536,0.836,101.1,-1.57,131404,54379,6.3,0.3566142468533013,B
969,경상남도 사천시_2019,9,13,10,8,12,20,22,19,192,14,44,854,6461,0,5,51,35,0,27,27.1,3032.0,96.9,96.6,497,0.974,101.8,-1.59,111925,46505,7.0,0.212426756169932,B
970,경상남도 김해시_2019,13,15,12,12,19,23,27,28,1072,69,59,9180,35967,5,25,212,135,3,104,19.7,10672.0,99.5,98.3,3431,1.083,102.3,1.65,542455,208189,6.1,2.2613509064995,D
971,경상남도 밀양시_2019,11,11,10,9,16,18,24,20,137,10,45,959,4233,0,8,45,26,1,23,19.6,2070.0,84.3,85.4,457,1.104,95.7,-0.87,105552,45869,6.6,0.0897206857182666,A
972,경상남도 거제시_2019,12,16,12,13,18,23,25,31,403,34,72,4955,18759,3,7,97,58,0,46,9.5,2356.0,85.1,97.4,1618,1.061,110.2,-0.55,248276,96257,15.3,2.1402993197789897,D
973,경상남도 양산시_2019,12,16,13,13,19,23,27,31,526,33,63,7542,22021,3,10,170,86,2,81,22.0,7711.0,98.4,98.4,2678,1.178,100.8,0.66,350759,136676,5.6,1.4254629406174584,D
974,경상남도 의령군_2019,6,5,6,6,10,8,17,19,17,0,70,159,779,0,2,11,5,0,7,19.9,541.0,64.9,73.0,88,0.975,95.1,-1.73,27168,12360,5.8,0.0,A
975,경상남도 함안군_2019,9,10,10,8,13,17,21,20,77,1,64,747,3684,0,3,22,13,0,13,24.4,1603.0,59.7,96.2,291,1.058,102.2,-2.02,65700,27491,8.5,0.0615196319338911,A
976,경상남도 창녕군_2019,8,8,7,7,14,14,18,19,47,3,64,504,2320,0,4,29,13,0,15,37.3,2325.0,76.8,99.8,316,1.326,99.0,-1.48,62331,27452,3.5,0.0033686237883817,A
977,경상남도 고성군_2019,5,8,6,8,9,13,16,20,65,3,53,236,2256,0,3,19,11,0,12,19.3,1011.0,65.9,80.3,158,0.869,100.5,-1.77,52276,22215,12.6,0.0,A
978,경상남도 남해군_2019,6,7,6,8,10,12,17,21,44,1,53,170,1348,0,1,23,9,0,9,6.0,261.0,80.0,73.7,118,0.977,92.7,-0.75,43622,19563,6.9,0.1082674574188332,A
979,경상남도 하동군_2019,4,6,5,6,6,11,16,16,35,4,77,131,1519,0,3,20,12,0,9,18.6,864.0,75.5,58.0,185,1.273,98.8,-2.04,46574,19560,4.1,0.0,A
980,경상남도 산청군_2019,4,6,6,5,9,10,15,16,22,1,97,157,1059,0,0,13,6,0,13,4.9,174.0,64.9,47.1,145,1.324,95.7,-1.65,35417,15565,4.3,0.0,A
981,경상남도 함양군_2019,7,8,7,7,13,12,19,19,38,2,70,327,1471,0,1,21,9,0,10,3.0,118.0,77.9,62.3,136,1.03,93.0,-0.79,39637,17296,5.5,0.069867756588774,A
982,경상남도 거창군_2019,9,10,7,7,14,16,19,18,73,5,60,543,3035,0,2,30,16,0,13,11.3,703.0,83.2,77.1,238,0.999,95.3,-0.37,62179,25684,29.0,0.1877266610538647,B
