,행정구역,2015,2016,2017,2018,2019,2020,2021
104,대구광역시 동구,0.9089624498250626,0.8346708629611764,0.6448901615778326,0.6611631848427207,0.40641764613706033,0.394883205770153,0.4227139483672676
105,대구광역시 북구,2.0892042636036683,1.8252474460578534,1.639273250167862,1.3677936699519337,1.1643434151569045,1.0676155245364285,0.8410983963550667
106,대구광역시 서구,0.6549635449903378,0.4037257304027738,0.2178862830569514,0.13112025992131232,-0.016617807733817436,0.09431537880563909,-0.020997664236558855
107,대구광역시 수성구,1.7920967971708321,1.5829943912231004,1.2979408680206943,1.1337436715147051,1.0052819424114878,0.8548194116462873,0.6707415226786969
108,대구광역시 중구,0.7427790291293993,0.47660392780122124,0.49904881033715986,0.5949667311757006,0.39533987814190497,0.4613854227040949,0.40995194721677963
109,대전광역시,2.2281883596222074,2.055160954778948,1.7363175064785148,1.5085281264740276,1.2592989718803196,1.0815763410990493,0.9350439239938898
110,대전광역시 대덕구,1.8517003283002498,1.5678330484266623,1.1900660787242834,0.9363109568367121,0.7000704961363975,0.7439985158825732,0.5963414455482852
111,대전광역시 동구,0.835404541449332,0.7720187028534264,0.6488767468568324,0.6640792359112503,0.542666044616825,0.41713573321743064,0.4810872966288683
112,대전광역시 서구,3.2822403104425444,3.0061589593409366,2.530312816972449,2.227316077581571,1.8907545770272893,1.5879403294401948,1.337631480076414
113,대전광역시 유성구,6.013181861662981,5.629019253782486,4.898368236147097,4.182312139511054,3.5308859471653546,3.0321862914684856,2.5577996795964735
114,대전광역시 중구,0.9588376628197703,0.884168394047574,0.7469813547530297,0.6161917969262442,0.5133490391396522,0.39856593145148345,0.32369418885974943
